,subject,new_relation,object
0,dysfunction,disease_species,child
1,et dysfunction,disease_species,child
3,rsv,disease_disease,virus
4,treatment,treat_procedure_species,child
5,urgency,disease_disease,virus
7,chloroquine,drug_gene,base
8,virus,disease_disease,virus
9,step,gene_gene,endosomes
10,chloroquine,drug_drug,chloroquine
11,drug,drug_gene,viral nucleotidyl transferase
13,chloroquine,drug_symptom,weak
14,rna,disease_treat_procedure,extracted
15,id,disease_disease,avian influenza
16,id,disease_disease,influenza
17,disease,disease_disease,pneumonia
18,mabs,gene_species,mouse
19,aim,gene_gene,mabs
20,prophylaxis,treat_procedure_gene,end
22,zoonotic infection,disease_disease,hpai h5n1 virus
23,treatment,treat_procedure_gene,mab
24,antibody,gene_disease,viral infection
25,antibody,gene_disease,infection
26,tuberculosis,disease_disease,vcjd
27,impact,gene_gene,past
28,pandemic influenza,disease_disease,pulmonary pathology
29,epidemic,disease_disease,community
30,coronaviruses,disease_disease,disease
31,curcumine,drug_disease,infection
32,severe acute respiratory syndrome,disease_disease,disease
33,acute respiratory syndrome,disease_disease,disease
34,acute respiratory syndrome,disease_disease,infectious disease
35,syndrome,disease_disease,infectious disease
36,syndrome,disease_disease,disease
37,respiratory syndrome,disease_disease,infectious disease
38,respiratory syndrome,disease_disease,disease
39,severe acute respiratory syndrome,disease_disease,infectious disease
40,rantes -28 g allele,gene_species,patient
44,rantes,gene_disease,recruitment
45,lung inflammation,disease_gene,rantes
46,virus,disease_gene,envelope
47,hepatitis a virus,disease_disease,transmissible
48,trypanosoma cruzi,disease_disease,chaga disease
49,trypanosoma cruzi,disease_disease,infection
50,vcjd,disease_species,people
52,blood transfusion,treat_procedure_treat_procedure,therapy
54,prrsv,disease_disease,virus
55,prrsv,disease_disease,enveloped virus
56,arteriviridae,disease_disease,arteritis virus
57,arteriviridae,disease_disease,equine arteritis virus
58,prrsv,disease_gene,vimentin
59,prrsv,disease_gene,receptor
60,prrsv,disease_disease,infection
61,mitochondrial heat shock protein,gene_disease,covid-19 virus
62,heat shock protein,gene_disease,covid-19 virus
