,Unnamed: 0.1,subject,object,new_relation
0,0,japan,human virus,species_species
7,7,serum,dog,species_species
10,10,apoptosis,anti-spike protein antibody,gene_gene
12,12,symptom,patient,species_species
13,13,aerosol,guinea pig,species_species
25,25,plasmid,lipofectamine 2000,drug_drug
44,45,virus,protein,gene_gene
56,57,balb/c mouse,encephalitis,disease_disease
59,60,zif268,immediate early gene,gene_gene
62,63,outbreak,human,species_gene
64,65,ccb,hypertension,disease_disease
68,69,cs-b,rna,gene_gene
70,71,sensitivity,high,disease_disease
72,73,lung,alveolitis,disease_disease
73,74,outbreak,human,species_gene
77,78,ncp,inflammation,disease_disease
80,81,qbd,patient,species_species
84,85,canada,human,species_gene
87,88,symptom,pulmonary edema,disease_disease
90,91,smith,influenza virus,species_disease
101,102,australia,respiratory virus,species_disease
103,104,onset,patient,species_species
107,109,b. bronchiseptica,infection,disease_disease
108,110,bat,virus,gene_disease
109,111,a/h1n1/2009,infection,disease_disease
111,113,section,antibody,gene_gene
115,117,cell,airway,gene_gene
116,118,bacteria,infection,disease_disease
119,121,cell,poly,drug_drug
120,122,ggo,infectious,gene_disease
122,124,data,host,gene_gene
127,129,colibacillos,liver,disease_disease
131,133,rotavirus,gastroenteritis,disease_disease
135,137,h5n1 virus,influenza virus,species_disease
142,144,middle east respiratory syndrome coronavirus,respiratory syndrome,disease_disease
145,147,"5,6",henipavirus infection,disease_disease
148,150,ventilation,patient,species_species
151,153,apoptosis,anti-spike protein antibody,gene_gene
153,155,osterhaus,body,gene_gene
160,162,multiplex assay,protein,gene_gene
168,170,motor,myosin,gene_gene
187,189,myelin debris,mouse,species_species
188,190,sirnas,flavivirus,species_disease
189,191,outbreak,infectious disease,disease_disease
192,194,specimen,infection,disease_disease
195,197,service,patient,species_species
197,199,rt-pcr,pig,species_species
198,200,human nlr family,protein,gene_gene
206,208,elimination,patient,species_species
212,214,european union,infectious disease,disease_disease
217,219,sirnas,infection,disease_disease
222,224,inflection,mosquito,species_species
228,230,mnc,antibody,gene_gene
229,231,protein,antibody,gene_gene
