,concept
0,
1,COVID-19 virus
2,COVID-19 pandemic
3,obesity
4,SARSr-CoV
5,hypercholesterolemia
6,hyperglycemia
7,antiserum
8,SARS-Cov-2 genome
9,2019 nCoV
10,coronavirus disease
11,covid19
12,Severe acute respiratory syndrome coronavirus 2
13,CoronaVirusWuhan2019
14,Outbreak of 2019-nCoV acute respiratory disease
15,myalgia
16,nausea
17,emergency medicine
18,viral pneumonia
19,fever
20,Calu-3
21,2019–21 coronavirus pandemic
22,Severe acute respiratory syndrome-related coronavirus 2
23,Zhang Jixian
24,Huh-7
25,Coronavirus disease 2019
26,anti-inflammatory agent
27,thrombosis
28,Transmembrane serine protease 2
29,Canis familiaris
30,droplet infection
31,Vero C1008
32,spike glycoprotein [SARS-CoV-2]
33,nCOVD19
34,symptomatic treatment
35,cough
36,SARS-CoV-2 pandemic
37,WuRS
38,Wuhan seafood market pneumonia virus
39,group or class of strains
40,Felis catus
41,COVID-19
42,respiratory failure
43,Sunda pangolin
44,asthma
45,cytokine storm
46,ivermectin
47,coronary artery disease
48,Corona virus
49,COVID2019
50,hypoxia
51,COVID-2019
52,pulmonology
53,2019–2021 coronavirus pandemic
54,Coronavirus
55,favipiravir
56,Homo sapiens
57,coronavirus disease 2019
58,NCP
59,nasal congestion
60,Coronavirus SARS-COV2
61,enanthem
62,COVID pandemic
63,nCOVD 19
64,SARS-CoV-2 infection
65,COVID
66,diabetes mellitus
67,atypical pneumonia
68,coronavirus pandemic
69,2019–21 COVID-19 pandemic
70,lymphopenia
71,pediatric multisystem inflammatory syndrome
72,seafood market pneumonia
73,COVID19FOAM
74,immunoglobulin therapy
75,antiviral drug
76,CD-19
77,anosmia
78,lopinavir/ritonavir
79,COVID 19
80,brain damage
81,immunotherapy
82,epidemiology
83,conjunctivitis
84,Novel coronavirus (2019-nCoV)
85,arterial hypertension
86,airborne transmission
87,2019nCoV
88,2019 NCP
89,hemoptysis
90,chills
91,immunodeficiency
92,toxic shock syndrome
93,direct transmission
94,coronavirus
95,Corona
96,baricitinib
97,chronic obstructive pulmonary disease
98,the great disaster of 2020
99,autoimmune disease
100,membrane protein [SARS-CoV-2]
101,acute respiratory distress syndrome
102,Sarilumab
103,envelope protein [SARS-CoV-2]
104,COVID-19 mortality
105,Chinese coronavirus
106,anemia
107,Wuhan
108,brain diseases
109,chloroquine
110,delirium
111,SARS-CoV-2 virus
112,fluvoxamine
113,nCOVD-19
114,dyspnea
115,covid-19 outbreak
116,nucleocapsid protein [SARS-CoV-2]
117,infectious disease
118,occupational burnout
119,Wuhan respiratory syndrome
120,Wuhan coronavirus
121,severe acute respiratory syndrome coronavirus clade 2
122,fomite transmission
123,anorexia
124,Wuhan virus
125,virology
126,Covid-19
127,immunosuppressive drug
128,Acute respiratory syndrome coronavirus 2
129,headache
130,oxygen therapy
131,tobacco smoking
132,2019-nCoV
133,COVID19
134,2019 novel coronavirus respiratory syndrome
135,biosafety level 3
136,diarrhea
137,abdominal pain
138,encephalitis
139,VeroE6/TMPRSS2
140,COVID-19 epidemic
141,Caco-2
142,COVIDー19
143,COVID-19 test
144,severe acute respiratory syndrome type 2
145,zoonosis
146,eye infection
147,CORONAVIRUS
148,fatigue
149,HEK293T
150,Wuhan pneumonia
151,emerging communicable disease
152,remdesivir
153,Zhong Nanshan
154,status asthmaticus
155,blood coagulation
156,contact transmission
157,severe acute respiratory syndrome
158,ruxolitinib
159,SARS-CoV2
160,ageusia
161,SARS-CoV-2
162,tocilizumab
163,novel coronavirus
164,psychosis
165,(S)-(−)-colchicine
166,2019-nCoV acute respiratory disease
167,SARS-CoV-1
168,2019 novel coronavirus pneumonia
169,influenza like illness
