folder,query,precision,recall,F1
1,1,0.081,0.750,0.081
1,2,0.455,1.000,0.455
1,3,1.000,0.043,1.000
1,4,0.250,0.333,0.250
1,5,0.250,0.188,0.250
2,1,0.109,1.750,0.109
2,2,0.385,1.000,0.385
2,3,0.250,0.043,0.250
2,4,0.250,0.667,0.250
2,5,0.214,0.188,0.214
3,1,0.087,1.500,0.087
3,2,0.318,1.400,0.318
3,3,0.333,0.130,0.333
3,4,0.300,1.000,0.300
3,5,0.222,0.250,0.222
4,1,0.103,2.000,0.103
4,2,0.127,1.400,0.127
4,3,0.429,0.261,0.429
4,4,0.261,1.000,0.261
4,5,0.190,0.250,0.190
5,1,0.098,2.000,0.098
5,2,0.079,1.400,0.079
5,3,0.444,0.348,0.444
5,4,0.240,1.000,0.240
5,5,0.167,0.250,0.167
6,1,0.114,2.500,0.114
6,2,0.073,1.600,0.073
6,3,0.417,0.435,0.417
6,4,0.200,1.000,0.200
6,5,0.154,0.250,0.154
7,1,0.111,2.500,0.111
7,2,0.061,1.800,0.061
7,3,0.500,0.522,0.500
7,4,0.200,1.000,0.200
7,5,0.138,0.250,0.138
8,1,0.105,2.500,0.105
8,2,0.047,1.600,0.047
8,3,0.444,0.522,0.444
8,4,0.211,1.333,0.211
8,5,0.133,0.250,0.133
9,1,0.101,2.500,0.101
9,2,0.050,1.800,0.050
9,3,0.448,0.565,0.448
9,4,0.195,1.333,0.195
9,5,0.129,0.250,0.129
10,1,0.099,2.500,0.099
10,2,0.042,1.600,0.042
10,3,0.441,0.652,0.441
10,4,0.196,1.500,0.196
10,5,0.152,0.312,0.152
