,query_6
0,ebola virus
1,injury
2,virus disease
3,cardiac injury
4,central nervous system infection
5,febrile respiratory illness
6,necrosis
7,respiratory infection
8,myocardial injury
9,cat
10,transmissible gastroenteritis coronavirus
11,nosocomial infection
12,acute covid-19ry syndrome
13,respiratory viral disease
14,epidemic
15,olfactory dysfunction
16,nervous system infection
17,pulmonary syndrome
18,hypercoagulable state
19,viral disease
20,obesity
21,icu
22,respiratory virus infection
23,bovine diarrhea virus
24,infectious peritonitis virus
25,fipv
26,enveloped virus
27,zoonotic disease
28,immunopathology
29,renal injury
30,he
31,malignancy
32,acute kidney injury
33,pleural effusion
34,rna
35,acute disease
36,common cold
37,cortex
38,h1n1
39,2009
40,rna virus
41,dad
42,severe acute respiratory syndrome coronavirus
43,coronaviruses
44,feline immunodeficiency virus
45,inflammation
46,human coronavirus
47,clotting disorder
48,pulmonary infection
49,hypoxemic respiratory failure
50,acute
51,viral respiratory illness
52,public
53,disease
54,aki
55,ct
56,coagulopathy
57,transmissible
58,infectious illness
59,cold
60,fibrosis
61,feline infectious peritonitis
62,respiratory syndrome
63,encephalitis
64,scov
65,respiratory distress
66,acute respiratory syndrome
67,retinal degeneration
68,direct infection
69,bocavirus
70,peritonitis virus
71,thrombocytopenia
72,malaise
73,bacterial infection
74,diabetes
75,degeneration
76,alveolar damage
77,tract infection
78,lymphopenia
79,dmvs
80,public health
81,kawasaki disease
82,coronavirus disease
83,h1n1 swine flu
84,lower respiratory infection
85,communicable disease
86,hepatic injury
87,ali
88,ground glass opacity
89,ecmo
90,granulomatous disease
91,influenza
92,ccv
93,infection
94,influenza pandemic
95,distress syndrome
96,communicable respiratory disease
97,leukopenia
98,sars coronavirus
99,human virus
100,anosmia
101,aid
102,type
103,hepatitis e virus
104,renal failure
105,acute respiratory syndrome coronavirus
106,pulmonary complication
107,disorder
108,mental health
109,headache
110,syndrome coronavirus
111,adrenal insufficiency
112,high fever
113,virus
114,bovine viral diarrhea virus
115,myocarditis
116,cov
117,coronavirus pneumonia
118,infectious bronchitis virus
119,local disease
120,emerging disease
121,coagulopathies
122,vaccine
123,acute respiratory disease
124,diarrhea
125,neurological disorder
126,dysfunction
127,liver
128,respiratory virus
129,rsv
130,viral hepatitis
131,diffuse alveolar damage
132,emerging infectious disease
133,immunodeficiency virus
134,hypoxemic failure
135,multi-organ failure
136,jhmv
137,rhinovirus
138,asymptomatic infection
139,pe
140,kidney injury
141,respiratory disease
142,rotavirus
143,adenovirus
144,229e
145,viral respiratory infection
146,fever
147,clinical syndrome
148,respiratory infectious disease
149,airborne
150,secondary infection
151,hemophagocytic syndrome
152,community
153,sars cov infection
154,skin lesion
155,kobuvirus
156,health problem
157,lung disease
158,mp
159,mhv
160,syndrome
161,fip
162,cardiovascular complication
163,respiratory distress syndrome
164,long
165,chronic disease
166,lu
167,influenza a
168,vasculitis
169,atypical pneumonia
170,respiratory illness
171,nose
172,epidemic disease
173,stroke
174,cr
175,pandemic disease
176,neurologic disorder
177,hiv
178,sepsis
179,insulin resistance
180,virus associated
181,hit
182,depression
183,systemic disease
184,contagious
185,lung damage
186,systemic infection
187,cardiovascular disease
188,sars cov
189,cns
190,flu
191,covid pandemic
192,pneumonia
193,lung
194,systemic granulomatous disease
195,major
196,rhinovirus infection
197,mouse hepatitis virus
198,influenza b
199,gb
200,respiratory tract infection
201,respiratory
202,hepatitis
203,respiratory failure
204,coronavirus infection
205,multiple organ failure
206,diabetic
207,hemagglutinating encephalomyelitis virus
208,shipping fever
209,thrombosis
210,liver injury
211,disease caused by virus
212,viral pneumonia
213,pandemic influenza
214,respiratory syndrome coronavirus
215,nasal discharge
216,astrovirus
217,acute respiratory distress syndrome
218,dic
219,mers
220,pulmonary aspergillosis
221,contagious disease
222,feline infectious peritonitis virus
223,hcw
224,cdc
225,alphacoronavirus 1
226,febrile illness
227,peritonitis
228,cytokine release syndrome
229,fatigue
230,gastroenteritis virus
231,respiratory symptom
232,cytokine storm
233,h1n1 influenza
234,emerging
235,viral
236,acute respiratory failure
237,inflammatory disease
238,lymphocytopenia
239,sars epidemic
240,plan
241,diarrhoea
242,acute respiratory syndrome coronavirus 2
243,gastrointestinal symptom
244,viral lung disease
245,mucosal
246,throat infection
247,infectious disease
248,respiratory tract disease
249,gyrovirus
250,coronavirus outbreak
251,h5n1 influenza
252,middle east respiratory syndrome
253,pandemic
254,aspergillosis
255,ibv
256,fatal
257,acute respiratory infection
258,acute infectious disease
259,face
260,severe
261,betacoronavirus
262,psychological distress
263,tb
264,me
265,infectious peritonitis
266,conjunctivitis
267,illness
268,middle east respiratory syndrome coronavirus
269,viral infection
270,uterus
271,infectious
272,influenza virus
273,viral respiratory disease
274,ards
275,viral illness
