,query_6
0,om
1,leukopenia
2,malaise
3,bocavirus
4,cardiovascular disease
5,stroke
6,cardiomyopathy
7,same
8,type
9,respiratory illness
10,nervous system infection
11,lymphocytopenia
12,throat infection
13,epidemic disease
14,distress syndrome
15,granulomatous disease
16,encephalopathy
17,nipah virus
18,viral disease
19,bovine diarrhea virus
20,public
21,diffuse alveolar damage
22,alveolar damage
23,coagulopathy
24,betacoronavirus
25,cov
26,viral respiratory illness
27,respiratory disease
28,gyrovirus
29,infectious disease
30,skin lesion
31,ali
32,h1n1 influenza
33,infectious peritonitis virus
34,coronaviruses
35,mers
36,influenza a
37,lu
38,ibv
39,clotting disorder
40,vaccine
41,tb
42,bovine viral diarrhea virus
43,infectious bronchitis virus
44,acute covid-19ry syndrome
45,illness
46,diarrhoea
47,fip
48,cns
49,degeneration
50,cytokine storm
51,sars cov infection
52,urticaria
53,feline infectious peritonitis virus
54,cold
55,rna
56,aspergillosis
57,viral respiratory disease
58,anosmia
59,sars coronavirus
60,immunodeficiency virus
61,systemic granulomatous disease
62,regression
63,jhmv
64,renal injury
65,asymptomatic infection
66,sars cov
67,cardiac injury
68,respiratory virus
69,pneumonia
70,pulmonary aspergillosis
71,direct infection
72,cdc
73,necrosis
74,rhinovirus
75,dysfunction
76,myocardial injury
77,acute respiratory distress syndrome
78,public health
79,headache
80,dad
81,h1n1 swine flu
82,mental health
83,syndrome
84,diarrhea
85,diabetic
86,kidney injury
87,lymphopenia
88,mhv
89,infection
90,hepatic injury
91,cat
92,viral infection
93,immunopathology
94,cytokine release syndrome
95,panic
96,diabetes
97,dmvs
98,229e
99,middle east respiratory syndrome
100,hypertension
101,acute respiratory syndrome
102,rsv
103,respiratory tract infection
104,fever
105,disease
106,fipv
107,psychological distress
108,acute respiratory infection
109,disorder
110,acute kidney injury
111,retinal degeneration
112,lung
113,hcw
114,myocarditis
115,aki
116,systemic disease
117,community
118,influenza
119,pe
120,epidemic
121,he
122,thrombosis
123,olfactory dysfunction
124,peritonitis virus
125,gastrointestinal symptom
126,cardiovascular complication
127,obesity
128,lung damage
129,ards
130,ct
131,2009
132,ccv
133,clinical syndrome
134,injury
135,emerging infectious disease
136,hepatitis e virus
137,uterus
138,nose
139,face
140,pandemic
141,renal impairment
142,respiratory syndrome
143,respiratory distress syndrome
144,inflammation
145,transmissible gastroenteritis coronavirus
146,viral
147,viral illness
148,feline immunodeficiency virus
149,encephalitis
150,virus
151,shipping fever
152,gb
153,central nervous system infection
