,Unnamed: 0.1,subject,object,new_relation
13,13,aerosol,guinea pig,be_in
14,14,uk,influenza,transmit
19,19,mp,sars-cov infection,be_related_with
29,29,obesity,china,be_in
31,31,%,ebv,be_related_with
33,33,outbreak,japan,be_in
47,48,rhinitis,asthma exacerbation,be_related_with
55,56,patient,2004,be_in
56,57,balb/c mouse,encephalitis,be_related_with
58,59,sgmrna,c,transmit
64,65,ccb,hypertension,be_related_with
67,68,specimen,wu polyomavirus,be_related_with
70,71,sensitivity,high,be_related_with
72,73,lung,alveolitis,be_related_with
73,74,outbreak,human,be_in
77,78,ncp,inflammation,be_related_with
82,83,type,sars cov,transmit
87,88,symptom,pulmonary edema,be_related_with
90,91,smith,influenza virus,transmit
101,102,australia,respiratory virus,transmit
107,109,b. bronchiseptica,infection,be_related_with
109,111,a/h1n1/2009,infection,be_related_with
116,118,bacteria,infection,be_related_with
123,125,rainfall,sudan,be_in
127,129,colibacillos,liver,be_related_with
131,133,rotavirus,gastroenteritis,be_related_with
134,136,high fever,china,be_in
135,137,h5n1 virus,influenza virus,transmit
138,140,d510g,s protein,be_in
142,144,middle east respiratory syndrome coronavirus,respiratory syndrome,be_related_with
143,145,\,a,treat
145,147,"5,6",henipavirus infection,be_related_with
147,149,u,virus infection,be_related_with
149,151,sgmrna,tgev,transmit
156,158,%,lower,be_related_with
157,159,control,−,be_in
161,163,cell,a,treat
166,168,hmpv,hrv,be_related_with
180,182,patient,kingdom of saudi arabia,be_in
187,189,myelin debris,mouse,transmit
188,190,sirnas,flavivirus,transmit
189,191,outbreak,infectious disease,be_related_with
191,193,flua,rsv,transmit
192,194,specimen,infection,be_related_with
194,196,data,hrv-c,be_related_with
207,209,covid-19,nasopharyngeal swab,be_in
212,214,european union,infectious disease,be_related_with
217,219,sirnas,infection,be_related_with
233,235,camel,mers-cov,be_related_with
236,238,patient,age,be_related_with
238,240,vaccination,illness,be_related_with
246,248,symptom,cough,be_related_with
247,249,google flu trend,public health,be_related_with
252,254,symptom,nasal congestion,be_related_with
253,255,spleen,congestion,be_related_with
257,259,%,disease,be_related_with
258,260,rt-pcr/esi-ms,adenovirus,transmit
265,267,symptom,sars,transmit
268,270,infection,illness,be_related_with
285,287,patient,stool,be_in
288,290,virus,h5n1 virus,be_related_with
290,292,u,virus infection,be_related_with
291,293,total rna,sars-cov infection,be_related_with
293,295,apoptosis,viral infection,be_related_with
294,296,case,boy,be_in
306,308,polymorphism,advanced liver fibrosis,be_related_with
310,312,cell,sars-cov,transmit
315,317,yf3,flavivirus,transmit
319,321,i,q,be_related_with
321,323,outbreak,hong kong,be_in
322,324,italy,covid-19,transmit
324,326,rt-pcr/esi-ms,adenovirus,transmit
325,327,symptom,headache,be_related_with
328,330,route,infection,be_related_with
329,331,cs2co3,phme,be_in
330,332,symptom,acute respiratory distress syndrome,be_related_with
331,333,pathogen,pneumonia,be_related_with
338,341,first swab,covid-19,transmit
339,342,palivizumab,infectious disease,be_related_with
344,347,vaccination,hct recipient,be_related_with
352,355,qbd,lung injury,be_related_with
355,358,outbreak,emerging infectious disease,be_related_with
360,364,ibv infection,ovo,be_in
363,367,niv,work of breathing,be_related_with
364,368,epitope,proteome,be_in
365,369,covid-19 survivor,infection,be_related_with
367,371,forum,age,be_related_with
374,378,myelin debris,mouse,transmit
376,380,china,disease,be_related_with
383,387,radiograph,lymphadenopathy,be_related_with
385,389,%,pandemic,be_related_with
390,394,tnfa,lp cm,be_in
395,400,child,age,be_related_with
412,417,data,mouse,transmit
414,419,chicken,guangdong province,be_in
420,425,hypertension,group b,be_in
424,429,enzyme immunoassay,age,be_related_with
429,434,neutrophil,lung,be_related_with
430,435,arenaviridae,arenavirus,transmit
440,445,avian influenza,hong-kong,be_in
442,447,public health,u.s.,be_in
449,454,vaccine,critical,be_related_with
450,455,hcov-nl63,guangzhou,be_in
457,462,pathogen,diarrhea,be_related_with
458,463,%,anxiety,be_related_with
459,464,cd93,encephalomyelitis,be_related_with
460,465,none,mouse,transmit
462,467,astroviruses,gastroenteritis,be_related_with
463,468,symptom,influenza-like illness,be_related_with
468,473,assay,influenza virus,transmit
472,477,coronavirus disease-2019,pandemic,be_related_with
474,479,japan,respiratory virus,transmit
481,486,faeces,rappaport,be_in
483,488,introduction,infection,be_related_with
487,492,patient,control group,be_in
488,493,qbd,lung inflammation,be_related_with
489,494,protein,hivd,be_related_with
