,Unnamed: 0.1,subject,object,new_relation
1692,1692,syndrome,infectious disease,disease_disease
1762,1762,syndrome,disease,disease_disease
1781,1781,emerging infectious disease,coronavirus,disease_disease
1824,1824,disease,coronavirus,disease_disease
1855,1855,infectious disease,coronavirus,disease_disease
1868,1868,syndrome,emerging infectious disease,disease_disease
5880,22,reduction,hemoptysis,treat_procedure_symptom
5885,27,cough,passive immunotherapy,symptom_treat_procedure
6281,423,infection,disease,disease_disease
10355,1465,gene,induction,gene_treat_procedure
10694,1804,induction,reduction,treat_procedure_treat_procedure
10721,1831,induction,reduction,treat_procedure_treat_procedure
10731,1841,induction,reduction,treat_procedure_treat_procedure
11125,2235,treatment,reduction,treat_procedure_treat_procedure
11134,2244,treatment,impact,treat_procedure_gene
11290,122,recruitment,lung,disease_disease
12778,1610,infection,lentivirus,disease_disease
13530,199,viral gastroenteritis,disease,disease_disease
13551,220,gastroenteritis,disease,disease_disease
17309,995,fractionation,isolation,treat_procedure_treat_procedure
17522,1208,application,manipulation,treat_procedure_treat_procedure
17874,4,macrophage activation,immunopathology,treat_procedure_disease
18309,439,antibody,antibody,gene_gene
18373,503,monoclonal antibody,antibody,drug_gene
19007,1137,attachment,fusion,treat_procedure_treat_procedure
19008,1138,attachment,fusion,treat_procedure_treat_procedure
19009,1139,attachment,fusion,treat_procedure_treat_procedure
19010,1140,attachment,fusion,treat_procedure_treat_procedure
19016,1146,attachment,fusion,treat_procedure_treat_procedure
21603,435,pyrexia,lymphadenopathy,symptom_disease
21655,487,pyrexia,lymphadenopathy,symptom_disease
21662,494,diarrhea,anemia,symptom_disease
21683,515,diarrhea,anemia of chronic disease,symptom_disease
22032,864,anorexia,constipation,disease_symptom
22064,896,copper deficiency,diet,disease_treat_procedure
22089,921,anorexia,diarrhea,disease_symptom
22094,926,copper deficiency,diet,disease_treat_procedure
22113,945,anorexia,gastrointestinal obstruction,disease_disease
22135,967,chronic peritonitis,diarrhea,disease_symptom
22137,969,diarrhea,chronic peritonitis,symptom_disease
22145,977,heart failure,diarrhea,disease_symptom
22148,980,heart failure,diarrhea,disease_symptom
22158,990,chronic peritonitis,diarrhea,disease_symptom
22205,1037,adenovirus,respiratory virus,disease_disease
22206,1038,adenovirus,virus,disease_disease
22207,1039,adenovirus,rhinovirus,disease_disease
22208,1040,adenovirus,human metapneumovirus,disease_disease
22210,1042,adenovirus,influenza virus,disease_disease
22212,1044,adenovirus,metapneumovirus,disease_disease
23402,661,sex,men,gene_gene
29513,956,infection,neurologic disease,disease_disease
29515,958,infection,progressive disease,disease_disease
29518,961,infection,disease,disease_disease
29523,966,acute infection,progressive disease,disease_disease
29524,967,acute infection,neurologic disease,disease_disease
29526,969,virus,persistent infection,disease_disease
29530,973,virus,infection,disease_disease
29536,979,acute infection,disease,disease_disease
29571,1014,virus,recruitment,disease_disease
29573,1016,virus,microglia,disease_gene
29606,1049,multifocal leukoencephalopathy,paraparesis,disease_symptom
29612,1055,progressive multifocal leukoencephalopathy,paraparesis,disease_symptom
29620,1063,leukoencephalopathy,paraparesis,disease_symptom
30177,1620,immunization,synthetic peptide,treat_procedure_gene
33260,2205,diarrhoea,dehydration,symptom_disease
33470,2415,diarrhoea,dehydration,symptom_disease
34881,328,fever,influenza,symptom_disease
37206,439,infection,herpes simplex virus type 2,disease_disease
37252,485,progesterone treatment,clearance,treat_procedure_treat_procedure
37935,372,endometritis,infection,disease_disease
37939,376,endometritis,clamping,disease_treat_procedure
38297,734,infection,malaria,disease_disease
38552,989,pneumonitis,respiratory distress,disease_symptom
39115,1552,fetal anemia,high output cardiac failure,disease_disease
39164,1601,severe anemia,high output cardiac failure,disease_disease
39185,1622,infection,disease,disease_disease
39214,1651,anemia,high output cardiac failure,disease_disease
39416,168,conjunctivitis,pneumonia,disease_disease
39434,186,conjunctivitis,pharyngitis,disease_disease
39969,164,he,detection,disease_treat_procedure
42933,867,chloroplast,expression,gene_treat_procedure
43013,947,gene,monoclonal antibody,gene_drug
43028,962,gene,antibody,gene_gene
44341,286,illness,pneumonia,symptom_disease
44342,287,illness,interstitial pneumonia,symptom_disease
44343,288,illness,pneumonia,symptom_disease
44344,289,illness,interstitial pneumonia,symptom_disease
45650,1595,asthma,illness,disease_symptom
45733,1678,asthma,illness,disease_symptom
45753,1698,illness,infection,symptom_disease
48221,394,impact,face,gene_disease
49178,1351,impact,open,gene_treat_procedure
49976,101,infection,detected,disease_treat_procedure
51319,1444,virus,nucleic,disease_gene
51793,472,treatment,treatment,treat_procedure_treat_procedure
51964,643,feline enteric coronavirus,feline infectious peritonitis,disease_disease
51970,649,coronavirus,feline infectious peritonitis,disease_disease
51971,650,feline enteric coronavirus,feline infectious peritonitis,disease_disease
51972,651,feline coronavirus,feline infectious peritonitis,disease_disease
51973,652,feline coronavirus,feline infectious peritonitis,disease_disease
51981,660,enteric coronavirus,feline infectious peritonitis,disease_disease
51994,673,enteric coronavirus,feline infectious peritonitis,disease_disease
51997,676,feline enteric coronavirus,feline infectious peritonitis,disease_disease
52000,679,enteric coronavirus,feline infectious peritonitis,disease_disease
52008,687,coronavirus,feline infectious peritonitis,disease_disease
52013,692,coronavirus,feline infectious peritonitis,disease_disease
52014,693,feline enteric coronavirus,feline infectious peritonitis,disease_disease
52016,695,feline coronavirus,feline infectious peritonitis,disease_disease
52021,700,feline coronavirus,feline infectious peritonitis,disease_disease
52022,701,enteric coronavirus,feline infectious peritonitis,disease_disease
52027,706,coronavirus,feline infectious peritonitis,disease_disease
52126,805,calicivirus,respiratory tract disease,disease_disease
52148,827,calicivirus,disease,disease_disease
53923,1034,disease,u,disease_disease
53949,1060,end,same,gene_disease
54055,1166,radiotherapy,radiotherapy,treat_procedure_treat_procedure
54109,3,he,trip,disease_gene
54921,815,he,virus,disease_disease
56595,1437,trade,pig,gene_gene
56608,1450,trade,pig,gene_gene
59184,602,virus,pneumonia,disease_disease
59187,605,virus,infection,disease_disease
61108,924,dengue,infection,disease_disease
61129,945,illness,illness,symptom_symptom
61130,946,illness,illness,symptom_symptom
61194,1010,chronic illness,illness,disease_symptom
61963,181,virus,detected,disease_treat_procedure
62514,732,influenza virus,disease,disease_disease
62528,746,presence,bronchiolitis,treat_procedure_disease
63191,1409,virus,trachea,disease_disease
63196,1414,virus,trachea,disease_disease
63652,80,virus,detected,disease_treat_procedure
66476,1591,sneezing,coughing,symptom_symptom
66487,1602,sneezing,coughing,symptom_symptom
69814,871,cell,chronic disease,gene_disease
69821,878,cell,chronic granulomatous disease,gene_disease
69846,903,cell,granulomatous disease,gene_disease
69896,953,cell,disease,gene_disease
72380,1002,coronavirus,end,disease_gene
72382,1004,coronavirus,end,disease_gene
72809,1431,infection,virus,disease_disease
74472,801,virus,trachea,disease_disease
74480,809,virus,trachea,disease_disease
75481,1810,infection,virus,disease_disease
76843,1201,bar,presence,gene_treat_procedure
77032,1390,bar,presence,gene_treat_procedure
77035,1393,presence,reduction,treat_procedure_treat_procedure
78598,886,virus,impact,disease_gene
78599,887,virus,impact,disease_gene
79614,257,men,non-obstructive azoospermia,gene_disease
79982,625,delivery,procedure,treat_procedure_treat_procedure
82376,311,administration,sepsis syndrome,treat_procedure_disease
82683,618,stimulation,induction,treat_procedure_treat_procedure
84807,396,nucleocapsid,genetic material,gene_gene
84839,428,nucleocapsid,genetic material,gene_gene
84995,584,fever,chronic disease,symptom_disease
85182,771,sensorineural hearing loss,pancreatitis,disease_disease
85255,844,virus,fever,disease_symptom
85396,985,application,vaccination,treat_procedure_treat_procedure
85669,138,detection,body,treat_procedure_gene
85987,456,detection,application,treat_procedure_treat_procedure
90164,1305,imbalance,impact,symptom_gene
90889,305,type,respiratory failure,gene_disease
91650,1066,virus,coronavirus,disease_disease
91653,1069,virus,feline enteric coronavirus,disease_disease
91656,1072,virus,enteric coronavirus,disease_disease
91657,1073,virus,feline coronavirus,disease_disease
93348,554,chronic renal failure,ten,disease_disease
93359,565,diabetes,ten,disease_disease
94382,448,disease,impact,disease_gene
100423,461,expression,prevention,treat_procedure_treat_procedure
100432,470,expression,prevention,treat_procedure_treat_procedure
100445,483,expression,prevention,treat_procedure_treat_procedure
103762,260,conservative treatment,treatment,treat_procedure_treat_procedure
103773,271,pain,symptom,symptom_symptom
103774,272,treatment,treatment,treat_procedure_treat_procedure
103781,279,pain,symptom,symptom_symptom
105952,1071,pneumocytes,lung,gene_disease
