,Unnamed: 0.1,subject,object,new_relation
37,37,dysfunction,child,disease_species
39,39,et dysfunction,child,disease_species
67,67,et dysfunction,child,disease_species
190,190,rsv,virus,disease_disease
386,386,treatment,child,treat_procedure_species
734,734,urgency,virus,disease_disease
743,743,urgency,virus,disease_disease
1732,1732,chloroquine,base,drug_gene
2040,2040,virus,virus,disease_disease
2055,4,step,endosomes,gene_gene
2159,108,chloroquine,chloroquine,drug_drug
2184,133,drug,viral nucleotidyl transferase,drug_gene
2192,141,chloroquine,base,drug_gene
2249,198,chloroquine,weak,drug_symptom
2394,343,rna,extracted,disease_treat_procedure
2506,455,id,avian influenza,disease_disease
2534,483,id,influenza,disease_disease
2620,569,disease,pneumonia,disease_disease
2646,595,mabs,mouse,gene_species
2808,757,aim,mabs,gene_gene
3212,1161,prophylaxis,end,treat_procedure_gene
3221,1170,prophylaxis,end,treat_procedure_gene
3250,1199,zoonotic infection,hpai h5n1 virus,disease_disease
3307,1256,treatment,mab,treat_procedure_gene
3615,1564,antibody,viral infection,gene_disease
3626,1575,antibody,infection,gene_disease
4270,2219,tuberculosis,vcjd,disease_disease
5741,1408,impact,past,gene_gene
5753,1420,pandemic influenza,pulmonary pathology,disease_disease
6589,2256,epidemic,community,disease_disease
7478,271,coronaviruses,disease,disease_disease
7634,427,curcumine,infection,drug_disease
8671,1464,severe acute respiratory syndrome,disease,disease_disease
8683,1476,acute respiratory syndrome,disease,disease_disease
8700,1493,acute respiratory syndrome,infectious disease,disease_disease
8711,1504,syndrome,infectious disease,disease_disease
8717,1510,syndrome,disease,disease_disease
8732,1525,respiratory syndrome,infectious disease,disease_disease
8750,1543,respiratory syndrome,disease,disease_disease
8765,1558,severe acute respiratory syndrome,infectious disease,disease_disease
8929,0,rantes -28 g allele,patient,gene_species
8936,7,rantes -28 g allele,patient,gene_species
8940,11,rantes -28 g allele,patient,gene_species
8944,15,rantes -28 g allele,patient,gene_species
9078,149,rantes,recruitment,gene_disease
9121,192,lung inflammation,rantes,disease_gene
9684,755,virus,envelope,disease_gene
9724,795,hepatitis a virus,transmissible,disease_disease
9837,908,trypanosoma cruzi,chaga disease,disease_disease
9838,909,trypanosoma cruzi,infection,disease_disease
9858,929,vcjd,people,disease_species
9862,933,vcjd,people,disease_species
10019,1090,blood transfusion,therapy,treat_procedure_treat_procedure
10030,1101,blood transfusion,therapy,treat_procedure_treat_procedure
10096,1167,prrsv,virus,disease_disease
10118,1189,prrsv,enveloped virus,disease_disease
10139,1210,arteriviridae,arteritis virus,disease_disease
10155,1226,arteriviridae,equine arteritis virus,disease_disease
10215,1286,prrsv,vimentin,disease_gene
10216,1287,prrsv,receptor,disease_gene
10222,1293,prrsv,infection,disease_disease
10293,1364,mitochondrial heat shock protein,covid-19 virus,gene_disease
10327,1398,heat shock protein,covid-19 virus,gene_disease
10384,1455,cd151,prrsv infection,gene_disease
10754,200,cd151 protein,cd151,gene_gene
10795,241,cd151,antibody,gene_gene
10798,244,cd151,antibody,gene_gene
10805,251,cd151,monoclonal antibody,gene_drug
10808,254,cd151,monoclonal antibody,gene_drug
10820,266,cd151,gene 1,gene_gene
10822,268,cd151,gene 1,gene_gene
10824,270,cd151,gene 1,gene_gene
10826,272,cd151,gene 1,gene_gene
10828,274,cd151,cloned,gene_gene
10833,279,cd151 protein,specie,gene_species
10849,295,cd151 protein,specie,gene_species
10998,444,rna,extracted,disease_treat_procedure
11210,656,membrane,anti-cd151 mab,gene_gene
11215,661,membrane,mab,gene_gene
11482,928,plp1,3clpro,gene_gene
11499,945,plp1,cysteine protease,gene_gene
11531,977,coronaviruses,plp2,disease_gene
11532,978,plp2,pl2pro,gene_gene
11534,980,plp2,pl2pro,gene_gene
11669,1115,clone,protein,gene_gene
11695,1141,mhv nsp3,membrane protein,gene_gene
11698,1144,mhv nsp3,integral membrane protein,gene_gene
11913,1359,egfp,cell,gene_gene
11916,1362,egfp,cell,gene_gene
11938,1384,protein,er,gene_disease
