,Unnamed: 0.1,subject,object,new_relation
2055,4,step,endosomes,gene_gene
2620,569,disease,pneumonia,disease_disease
3212,1161,prophylaxis,end,treat_procedure_gene
3221,1170,prophylaxis,end,treat_procedure_gene
5741,1408,impact,past,gene_gene
8711,1504,syndrome,infectious disease,disease_disease
8717,1510,syndrome,disease,disease_disease
9684,755,virus,envelope,disease_gene
10019,1090,blood transfusion,therapy,treat_procedure_treat_procedure
10030,1101,blood transfusion,therapy,treat_procedure_treat_procedure
11669,1115,clone,protein,gene_gene
12840,892,pseudogenes,expression,gene_treat_procedure
12918,970,presence,expression,treat_procedure_treat_procedure
13994,212,impact,u,gene_disease
14007,225,finding,u,symptom_disease
16781,1278,guidance,impact,treat_procedure_gene
18167,673,coding region,detected,gene_treat_procedure
18350,856,nsp1,induction,gene_treat_procedure
18962,1468,coronaviruses,expression,disease_treat_procedure
19675,162,blind,encephalitis,disease_disease
19688,175,blind,encephalitis,disease_disease
20010,497,infection,encephalitis,disease_disease
20380,867,encephalitis,infiltration,disease_treat_procedure
20685,1172,cell type,vaccination,gene_treat_procedure
21528,2015,virus,electroporation,disease_treat_procedure
24142,2269,inclusion,granule,gene_gene
26980,697,sore throat,fever,disease_symptom
31090,31,presence,viral infection,treat_procedure_disease
33985,447,pt,set,gene_gene
40929,338,expression,expression,treat_procedure_treat_procedure
41072,481,expression,expression,treat_procedure_treat_procedure
44673,1131,nsp1,protein,gene_gene
44821,1279,virus,disease,disease_disease
44834,1292,virus,disease,disease_disease
44842,1300,acute hepatitis,encephalitis,disease_disease
44843,1301,virus,disease,disease_disease
44866,1324,hepatitis,encephalitis,disease_disease
44883,1341,virus,disease,disease_disease
45956,2414,viral pneumonia,co-infection,disease_disease
47450,1410,measles,damage,disease_gene
47467,1427,measles,damage,disease_gene
47618,1578,vaccination,smallpox,treat_procedure_disease
51109,1606,renin,step,gene_gene
51350,1847,renin,renin,gene_gene
54191,2238,therapy,anemia,treat_procedure_disease
54787,407,virus,influenza virus,disease_disease
54892,512,virus,influenza virus,disease_disease
58277,2254,he,founder,disease_disease
58304,2281,he,working,disease_species
58342,2319,he,working,disease_species
58759,383,he,finding,disease_symptom
59292,916,schistosomiasis,chikungunya virus,disease_disease
59600,1224,rank,disorder,gene_disease
61224,771,bracovirus,ichnovirus,disease_disease
61249,796,bracovirus,ichnovirus,disease_disease
62454,2001,exosome,body,gene_gene
63312,811,murine coronavirus,mouse hepatitis virus,disease_disease
63315,814,coronavirus,mouse hepatitis virus,disease_disease
64147,1646,finding,induction,symptom_treat_procedure
66147,848,infection,expression,disease_treat_procedure
69562,798,pneumonia,respiratory distress,disease_symptom
69571,807,pneumonia,respiratory distress,disease_symptom
69576,812,pneumonia,respiratory distress,disease_symptom
71504,720,antibody,detected,gene_treat_procedure
72628,104,nsp1,induction,gene_treat_procedure
75255,633,treatment,hyperglycemia,treat_procedure_disease
75384,762,renal fibrosis,treatment,disease_treat_procedure
75402,780,renal fibrosis,treatment,disease_treat_procedure
76911,354,cirrhosis,liver disease,disease_disease
76924,367,biliary cirrhosis,autoimmune liver disease,disease_disease
76929,372,cirrhosis,autoimmune liver disease,disease_disease
76930,373,biliary cirrhosis,liver disease,disease_disease
77091,534,immunosuppression,reduction,disease_treat_procedure
77460,903,virus,liver,disease_disease
77602,1045,betaretrovirus,cholangitis,disease_disease
79126,320,lyme neuroborreliosis,antibody,disease_gene
79636,830,hepatitis,infection,disease_disease
79637,831,virus,oligodendroglia,disease_gene
79638,832,hepatitis,rare,disease_gene
79644,838,hepatitis,infection,disease_disease
79651,845,virus,oligodendroglia,disease_gene
79718,912,fever,arthralgia,symptom_symptom
79721,915,fever,myalgia,symptom_symptom
79725,919,fever,myalgia,symptom_symptom
79729,923,fever,arthralgia,symptom_symptom
79761,955,post-exposure prophylaxis,administration,treat_procedure_treat_procedure
79774,968,post-exposure prophylaxis,administration,treat_procedure_treat_procedure
79779,973,prophylaxis,administration,treat_procedure_treat_procedure
79797,991,prophylaxis,administration,treat_procedure_treat_procedure
83060,1483,treatment,sinusitis,treat_procedure_disease
83108,1531,treatment,bacterial sinusitis,treat_procedure_disease
85240,1613,virus,specie,disease_species
86097,654,treatment,expression,treat_procedure_treat_procedure
88244,458,inclusion,treatment,gene_treat_procedure
90426,376,detection,human herpesvirus 6,treat_procedure_disease
92416,262,virus,detected,disease_treat_procedure
92724,570,infection,cell,disease_gene
93639,1485,virus,cell,disease_gene
93643,1489,monolayers,red,drug_gene
93670,1516,monolayers,infection,drug_disease
94031,1877,virion,cell,gene_gene
95082,761,expression,expression,treat_procedure_treat_procedure
97820,1109,rest,co-infections,gene_disease
97939,1228,nucleic acid,extracted,gene_treat_procedure
98791,645,fatigue,sore throat,symptom_disease
98792,646,fatigue,headache,symptom_symptom
99399,1253,stabilization,peptide,treat_procedure_gene
101553,475,serum,extracted,gene_treat_procedure
103931,974,influenza virus,virus,disease_disease
104097,1140,virus,detected,disease_treat_procedure
108059,1870,genome,base,gene_gene
109465,1293,nucleocapsid,coronaviruses,gene_disease
110358,384,protein,virion,gene_gene
110706,732,virus,severe acute respiratory syndrome related coronavirus,disease_disease
111139,1165,hpi,12,disease_gene
113021,699,virus infection,kit,disease_gene
113063,741,expression,kit,treat_procedure_gene
113072,750,influenza,expression,disease_treat_procedure
113076,754,expression,kit,treat_procedure_gene
113090,768,virus infection,kit,disease_gene
113102,780,virus infection,expression,disease_treat_procedure
113560,1238,exosomes,macrophage activation,gene_treat_procedure
114726,931,change,change,treat_procedure_treat_procedure
114863,1068,change,fusion,treat_procedure_treat_procedure
114906,1111,change,step,treat_procedure_gene
116008,147,exosomes,presence,gene_treat_procedure
116492,631,exosomes,prion protein,gene_gene
118081,676,keratinocytes,release,gene_treat_procedure
118216,811,intradermal injection,drainage,treat_procedure_symptom
118233,828,injection,drainage,treat_procedure_symptom
119184,298,expression,intradermal injection,treat_procedure_treat_procedure
119200,314,expression,injection,treat_procedure_treat_procedure
120966,2080,expression,induction,treat_procedure_treat_procedure
121425,2539,influenza,damage,disease_gene
122550,1010,expression,adipocytes,treat_procedure_gene
122739,1199,expression,synoviocytes,treat_procedure_gene
122924,1384,stimulation,fibroblast growth factor 2,treat_procedure_gene
125399,1494,damage,detection,gene_treat_procedure
126001,495,fever,infection,symptom_disease
126931,1425,gingivitis,periodontal disease,disease_disease
126944,1438,gingivitis,disease,disease_disease
127439,1933,noroviruses,astroviruses,disease_disease
129212,609,influenza virus,cell,disease_gene
129329,726,virus,change,disease_treat_procedure
129379,776,virus,change,disease_treat_procedure
130855,2252,virus,body,disease_gene
130879,2276,detection,infection,treat_procedure_disease
132080,803,infection,rare,disease_gene
136639,475,vaccination,candidiasis,treat_procedure_disease
136924,760,expression,virus,treat_procedure_disease
137931,8,application,impact,treat_procedure_gene
141916,37,pneumothorax,insertion,disease_treat_procedure
141927,48,anticoagulation therapy,weakness,treat_procedure_symptom
142185,306,baculoviruses,expression,disease_treat_procedure
143765,1886,infection,damage,disease_gene
144238,219,expression,expression,treat_procedure_treat_procedure
144264,245,expression,cell surface,treat_procedure_gene
144325,306,presence,release,treat_procedure_treat_procedure
146962,2943,virus,cell,disease_gene
146974,2955,acidification,change,treat_procedure_treat_procedure
146978,2959,acidification,step,treat_procedure_gene
146990,2971,change,endosome,treat_procedure_gene
157956,152,virus,ice,disease_gene
158098,294,virus,ice,disease_gene
158788,984,infiltration,lung,treat_procedure_disease
164163,2321,virus,pro,disease_gene
164799,2957,atherosclerosis,atherosclerosis,disease_disease
164816,2974,atherosclerosis,atherosclerosis,disease_disease
165662,844,type,detected,gene_treat_procedure
168349,747,administration,influenza,treat_procedure_disease
168353,751,oral administration,infection,treat_procedure_disease
168362,760,oral administration,infection,treat_procedure_disease
168366,764,administration,infection,treat_procedure_disease
168367,765,oral administration,influenza,treat_procedure_disease
168369,767,administration,lung,treat_procedure_disease
168370,768,administration,infection,treat_procedure_disease
168832,1230,stabilization,lung,treat_procedure_disease
168934,1332,administration,infiltration,treat_procedure_treat_procedure
171769,80,terminal loop,base,gene_gene
171778,89,terminal loop,base,gene_gene
171780,91,terminal loop,base,gene_gene
171782,93,terminal loop,base,gene_gene
173999,701,presence,infection,treat_procedure_disease
174017,719,presence,infection,treat_procedure_disease
177611,590,infection,bacterial infection,disease_disease
177617,596,infection,infection,disease_disease
177620,599,viral infection,bacterial infection,disease_disease
177625,604,infection,secondary infection,disease_disease
177628,607,viral infection,secondary infection,disease_disease
177638,617,infection,secondary infection,disease_disease
177644,623,infection,infection,disease_disease
177657,636,viral infection,secondary infection,disease_disease
177667,646,infection,bacterial infection,disease_disease
177668,647,viral infection,infection,disease_disease
177670,649,viral infection,infection,disease_disease
177676,655,viral infection,bacterial infection,disease_disease
177681,660,infection,infection,disease_disease
177696,675,viral infection,infection,disease_disease
177697,676,infection,infection,disease_disease
177712,691,viral infection,bacterial infection,disease_disease
177734,713,infection,bacterial infection,disease_disease
178478,1457,u,electroporation,disease_treat_procedure
179623,898,mouse,pseudogene,gene_gene
179693,968,expression,detected,treat_procedure_treat_procedure
181190,97,condition,a,disease_gene
185014,343,virus,coronavirus,disease_disease
185020,349,virus,detected,disease_treat_procedure
186033,1362,drug,virus,drug_disease
186398,1727,virus,expression,disease_treat_procedure
186466,31,antibody,antibody,gene_gene
186470,35,monoclonal antibody,antibody,drug_gene
188529,852,infection,virus,disease_disease
189852,25,g,fitted,disease_symptom
194692,467,filtration,genetic material,treat_procedure_gene
196296,109,illness,detected,symptom_treat_procedure
197373,1186,f,f,disease_disease
197980,486,plan,revised,disease_treat_procedure
198546,1052,virus,influenza,disease_disease
198650,1156,virus,influenza,disease_disease
198673,1179,virus,influenza,disease_disease
198684,1190,virus,respiratory disease,disease_disease
198780,1286,presence,vaccination,treat_procedure_treat_procedure
198835,1341,virus,influenza,disease_disease
198841,1347,infection,influenza,disease_disease
198887,1393,swine influenza virus,co-infection,disease_disease
199904,556,disease,syndrome,disease_disease
199905,557,disease,severe acute respiratory syndrome,disease_disease
200133,785,virus,infection,disease_disease
200138,790,virus,infection,disease_disease
201805,306,tuberculosis,held,disease_gene
202154,655,virus,vomiting,disease_symptom
202156,657,vomiting,diarrhoea,symptom_symptom
202875,1376,virus,coronavirus,disease_disease
203777,2278,arteriviruses,nidoviruses,disease_disease
203782,2283,arteriviruses,nidoviruses,disease_disease
203942,2443,nidoviruses,specie,disease_species
205778,1831,pneumonic plague,treatment,disease_treat_procedure
205780,1833,pneumonic plague,treatment,disease_treat_procedure
205781,1834,pneumonic plague,treatment,disease_treat_procedure
205782,1835,plague,treatment,disease_treat_procedure
205784,1837,plague,treatment,disease_treat_procedure
205786,1839,plague,treatment,disease_treat_procedure
207223,1364,antibody,membrane,gene_gene
207410,1551,combination therapy,treatment,treat_procedure_treat_procedure
208059,473,virus,disease,disease_disease
210929,1300,plague,tied,disease_gene
211590,1961,delivery,serum,treat_procedure_gene
211618,1989,influenza,12,disease_gene
211633,2004,induction,serum,treat_procedure_gene
213003,1105,empyema,spinal epidural abscess,disease_disease
213013,1115,subdural empyema,spinal epidural abscess,disease_disease
213015,1117,empyema,epidural abscess,disease_disease
213080,1182,subdural empyema,epidural abscess,disease_disease
213150,1252,subdural empyema,abscess,disease_disease
213232,1334,empyema,abscess,disease_disease
214685,2787,infection,specie,disease_species
216153,1300,cytomegalovirus,secondary peritonitis,disease_disease
218103,1177,infection,tickborne disease,disease_disease
218104,1178,infection,disease,disease_disease
218170,1244,fever,human ehrlichiosis,symptom_disease
218172,1246,fever,anaplasmosis,symptom_disease
218176,1250,fever,human anaplasmosis,symptom_disease
218182,1256,fever,ehrlichiosis,symptom_disease
218764,1838,presence,infection,treat_procedure_disease
219006,2080,type,encephalitis,gene_disease
219015,2089,type,encephalitis,gene_disease
219053,2127,type,encephalitis,gene_disease
219945,430,presence,serum,treat_procedure_gene
221939,94,membrane,antibody,gene_gene
224515,574,set,presence,gene_treat_procedure
226210,2269,virus,pneumonia,disease_disease
226355,2414,detected,detected,treat_procedure_treat_procedure
226394,2453,forward primer,reverse primer,gene_gene
226959,322,fusion,infection,treat_procedure_disease
226961,324,step,coronaviruses,gene_disease
226967,330,step,coronaviruses,gene_disease
226971,334,step,coronaviruses,gene_disease
226985,348,fusion,step,treat_procedure_gene
227002,365,step,step,gene_gene
227027,390,fusion,infection,treat_procedure_disease
